family	na_type	na_class	na_purity	na_coarse	na_coarse_purity	host_type	host_purity	n_vmr_records
Abyssoviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	1
Ackermannviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	63
Adamaviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	0.727	22
Adenoviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	256
Aggregaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Ahmunviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Ahpuchviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Aliceevansviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	126
Alisviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	8
Aliusviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	12
Alloherpesviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	13
Allomimiviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	2
Alphaflexiviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	74
Alphaormycoviridae	ssRNA	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	9
Alphasatellitidae	ssDNA(+)	DNA	0.929	ssDNA	1.0	eukaryotic	1.0	85
Alphatetraviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	10
Alternaviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	5
Alvernaviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	1
Amalgaviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	23
Amesuviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	1.0	2
Amnoonviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	1
Ampullaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	3
Anaerodiviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Andersonviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	123
Anelloviridae	ssDNA(-)	DNA	0.712	ssDNA	1.0	eukaryotic	1.0	243
Anicreviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	1.0	9
Aoguangviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Apasviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Arenaviridae	ssRNA(+/-)	RNA	0.8	ssRNA	1.0	eukaryotic	0.988	85
Arenbergviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Armatusviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Arteriviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	23
Artiviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	9
Artoviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	13
Ascoviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	6
Asemoviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	2
Asfarviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	20
Aspiviridae	ssRNA(-)	RNA	0.875	ssRNA	1.0	eukaryotic	1.0	8
Assiduviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	3
Astroviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	22
Atkinsviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	phage	0.347	262
Autolykiviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	5
Autonotataviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	99
Autoscriptoviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	277
Autosignataviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	76
Autotranscriptaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	411
Avsunviroidae	ssRNA	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	5
Bacilladnaviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	0.409	22
Baculoviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	107
Barnaviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	1
Bartogtaviriformidae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Belpaoviridae	ssRNA-RT	RT	1.0	ssRNA	1.0	eukaryotic	1.0	11
Benyviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	4
Berryhillviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	21
Betaflexiviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	152
Betaormycoviridae	ssRNA	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	7
Bicaudaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Bidnaviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	1.0	1
Birnaviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	17
Blumeviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	phage	0.763	38
Bornaviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	27
Botourmiaviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	0.462	169
Botybirnaviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	9
Brachygtaviriformidae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Bromoviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	53
Burtonviroviridae	dsDNA	DNA	1.0	dsDNA	1.0	unknown	0.0	1
Caliciviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	29
Carmotetraviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	1
Casidaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	41
Casjensviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	51
Caulimoviridae	dsDNA-RT	RT	0.972	dsDNA	1.0	eukaryotic	1.0	108
Chaacviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	3
Chaseviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	30
Chimalliviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	50
Chiyouviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Chrysoviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	41
Chuviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	44
Circoviridae	ssDNA(+/-)	DNA	0.975	ssDNA	1.0	eukaryotic	1.0	160
Clavaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Clermontviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Closteroviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	58
Colingsworthviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	13
Connertonviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	20
Coronaviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	59
Corticoviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	2
Cremegaviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	2
Crepuscuviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	1
Crevaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	4
Cruliviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	4
Curvulaviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	8
Cystoviridae	dsRNA	RNA	1.0	dsRNA	1.0	phage	1.0	9
Deltaflexiviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	4
Deltanormycoviridae	ssRNA	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	4
Demerecviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	196
Dicistroviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	16
Discoviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	7
Dishuiviroviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	1
Draupnirviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	0.612	67
Drexlerviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	236
Druskaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	2
Duinviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	phage	0.5	12
Dumbiviridae	ssRNA(+/-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	7
Duneviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	6
Ehrlichviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	19
Ekchuahviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	2
Endolinaviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	1.0	10
Endornaviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	31
Epsomviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Eupolintoviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	2
Eurekaviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Euroniviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	3
Felixviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	3
Fervensviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Fiersviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	phage	0.351	827
Filamentoviridae	dsDNA	DNA	1.0	dsDNA	1.0	eukaryotic	1.0	3
Filoviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	18
Fimoviridae	ssRNA(-)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	33
Finnlakeviridae	ssDNA	DNA	1.0	ssDNA	1.0	phage	1.0	1
Flaviviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	148
Forsetiviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	2
Fredfastierviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	2
Fusagraviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	20
Fusariviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	34
Fuselloviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	9
Fuxiviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	1
Gammaflexiviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	4
Gammaormycoviridae	ssRNA	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	6
Gandrviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	0.375	8
Geminiviridae	ssDNA(+/-)	DNA	0.978	ssDNA	1.0	eukaryotic	1.0	780
Genomoviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	0.958	237
Geplanaviridae	ssDNA(+/-)	DNA	1.0	ssDNA	1.0	eukaryotic	0.733	30
Giardiaviridae	dsRNA	RNA	1.0	dsRNA	1.0	eukaryotic	1.0	1
Globuloviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	4
Graaviviridae	dsDNA	DNA	1.0	dsDNA	1.0	phage	1.0	2
Gresnaviridae	ssRNA(+)	RNA	1.0	ssRNA	1.0	eukaryotic	1.0	1
