ncbi_taxid	realm	kingdom	phylum	class	order	family	genus
10680	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
10682	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Punavirus
10689	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Comeauvirus
10702	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Veewebvirus
10704	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
10713	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
10717	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Spizizenvirus
10730	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Traversvirus
10732	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Arequatrovirus
10854	Floreoviria	Loebvirae	Hofneiviricota	Faserviricetes	Tubulavirales	Plectroviridae	Vespertiliovirus
10886	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus
11021	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus
11036	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus
11039	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus
11049	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	Betaarterivirus
11084	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus
11128	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus
11135	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus
11152	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Gammacoronavirus
11247	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Pneumoviridae	Orthopneumovirus
11307	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Betanucleorhabdovirus
11642	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	
11764	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus
11788	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus
11795	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus
11819	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus
11830	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus
11867	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus
11908	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Deltaretrovirus
11909	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Deltaretrovirus
11946	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus
11958	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus
12022	Riboviria	Orthornavirae	Lenarviricota	Leviviricetes	Norzivirales	Fiersviridae	Emesvirus
12027	Riboviria	Orthornavirae	Lenarviricota	Leviviricetes	Norzivirales	Fiersviridae	Qubevirus
12063	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus
12092	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Hepatovirus
12104	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus
12204	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus
12336	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
12348	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
12390	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
12402	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
12417	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
12450	Riboviria						
12458	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	Carlavirus
12475	Ribozyviria					Kolmioviridae	Deltavirus
12530	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Pseudototiviridae	Leishmaniavirus
12851	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus
28344	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	Betaarterivirus
28358	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Sasvirus
29250				Naldaviricetes	Lefavirales	Nudiviridae	Betanudivirus
29256	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Orthototiviridae	
31559	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Caulimoviridae	Badnavirus
31656	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Pestiviridae	Orthopestivirus
31657	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Pestiviridae	Orthopestivirus
31658	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus
31754	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Sandinevirus
31757	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Fromanvirus
33727	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Filoviridae	Orthomarburgvirus
33745	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Hepaciviridae	Orthohepacivirus
33746	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Hepaciviridae	Orthohepacivirus
33748	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Deltaretrovirus
33771	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Thumleimavirales	Hafunaviridae	Haloferacalesvirus
35241	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
35315	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Peribunyaviridae	Orthobunyavirus
35344	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
35345	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
36339	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus
37105	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
38170	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus
39103	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Junavirus
39116	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Pseudototiviridae	Leishmaniavirus
39838	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Skunavirus
40271	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Hepaciviridae	Orthohepacivirus
40521	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
40522	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Aquingentivirus
40687	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus
41856	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Hepaciviridae	Orthohepacivirus
42182	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Hepaciviridae	Orthohepacivirus
43685	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
43763	Riboviria	Orthornavirae	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	Betanodavirus
45270	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Peribunyaviridae	Orthobunyavirus
45764	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Hnatkovirus
46473	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Tobaniviridae	Torovirus
46771	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	
47001	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Erbovirus
49964	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Myxoctovirus
51369	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Ashduovirus
52979	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
52996	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Caulimoviridae	Badnavirus
53010	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus
53182	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Felispumavirus
54290	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Hepaciviridae	Pegivirus
55884	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
57119	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus
58103	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Pseudototiviridae	Leishmaniavirus
59241	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
59563	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus
60875	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus
60876	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus
60877	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus
60879	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus
63746	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Hepaciviridae	Orthohepacivirus
64305	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus
64311	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus
64317	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus
64319	Riboviria	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus
66284	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			
67082	Varidnaviria	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Oryzopoxvirus
67762	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus
67962	Riboviria						
68347	Varidnaviria	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Chloriridovirus
68887	Floreoviria	Shotokuvirae	Commensaviricota	Cardeaviricetes	Sanitavirales	Anelloviridae	
69576	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus
70793	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Avastrovirus
71032	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	Ampelovirus
71366	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes			Peeveelvirus
72197	Floreoviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Erythroparvovirus
72201	Varidnaviria	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Iridovirus
75590							
75914	Riboviria						
77344	Riboviria	Orthornavirae	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Betacarmovirus
