species	accession	abundance	prevalence
Lactobacillus iners	GCF_000160075.2	0.25	0.85
Gardnerella vaginalis	GCF_000025205.1	0.05	0.6
Prevotella bivia	GCF_000195635.1	0.025	0.35
Sneathia amnii	GCF_000759755.1	0.015	0.2
Megasphaera genomosp type 1	GCF_000284795.1	0.01	0.15
Mobiluncus curtisii	GCF_000154405.1	0.01	0.15
Streptococcus agalactiae	GCF_000196055.1	0.02	0.25
Enterococcus faecalis	GCF_000007785.1	0.01	0.2
Escherichia coli	GCF_000005845.2	0.01	0.25
Ureaplasma parvum	GCF_000006625.1	0.015	0.3
Mycoplasma hominis	GCF_000085865.1	0.01	0.15
