collection_id	collection_name	abundance_rank	genome_id	genome_name	relative_abundance
1	Gut Virome - Adult Healthy (Western Diet)	85	GCF_000819615.1	Escherichia phage phiX174, complete genome	0.007074597203640479
1	Gut Virome - Adult Healthy (Western Diet)	78	GCF_000839525.1	Chlamydia phage Chp1, complete genome	0.0006926183795438926
1	Gut Virome - Adult Healthy (Western Diet)	130	GCF_000839585.1	Panicum streak virus - Karino, complete genome	0.0030262069100400074
1	Gut Virome - Adult Healthy (Western Diet)	90	GCF_000840785.1	Genome of phage G4 (coliphage)	0.0024745922275600457
1	Gut Virome - Adult Healthy (Western Diet)	113	GCF_000845085.1	Human adenovirus C, complete genome	0.0010434398817646103
1	Gut Virome - Adult Healthy (Western Diet)	113	GCF_000845985.1	Human adenovirus D, complete genome	0.0010434398817646103
1	Gut Virome - Adult Healthy (Western Diet)	82	GCF_000846145.1	Enterobacteria phage alpha3, complete genome	0.0014309008512509741
1	Gut Virome - Adult Healthy (Western Diet)	113	GCF_000846805.1	Human adenovirus A, complete genome	0.0010434398817646103
1	Gut Virome - Adult Healthy (Western Diet)	102	GCF_000847885.1	Enterobacteria phage I2-2, complete genome	0.0006173789072246434
1	Gut Virome - Adult Healthy (Western Diet)	79	GCF_000849665.1	Chlamydia phage Chp2, complete genome	0.0001611083647933081
1	Gut Virome - Adult Healthy (Western Diet)	113	GCF_000857085.1	Human adenovirus B2, complete genome	0.0010434398817646103
1	Gut Virome - Adult Healthy (Western Diet)	112	GCF_000859465.1	Human adenovirus 2, complete genome	0.005346751702027971
1	Gut Virome - Adult Healthy (Western Diet)	113	GCF_000859485.1	Human adenovirus type 7, complete genome	0.0010434398817646103
1	Gut Virome - Adult Healthy (Western Diet)	113	GCF_000859665.1	Human adenovirus E, complete genome	0.0010434398817646103
1	Gut Virome - Adult Healthy (Western Diet)	88	GCF_000864545.1	Enterobacteria phage ID2 Moscow/ID/2001, complete genome	0.005049681800890083
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_000883035.1	Bacteroides phage B40-8, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	93	GCF_000884975.1	Enterobacteria phage St-1, complete genome	0.02177630485712236
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_000895315.1	Bacteroides phage B124-14, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	125	GCF_000909255.1	Halovirus HHTV-1, complete genome	0.019733825112791314
1	Gut Virome - Adult Healthy (Western Diet)	48	GCF_000909615.1	Cellulophaga phage phi14:2, complete genome	5.1757617066936894e-05
1	Gut Virome - Adult Healthy (Western Diet)	128	GCF_000921575.1	Megrivirus C2 isolate 27C, complete genome	0.00012773513854045414
1	Gut Virome - Adult Healthy (Western Diet)	123	GCF_000926935.1	Vanilla distortion mosaic virus isolate VDMV-Cor, complete genome	0.0005185464591993854
1	Gut Virome - Adult Healthy (Western Diet)	96	GCF_000929915.1	Bacteriophage f1, complete genome	0.04929515563237524
1	Gut Virome - Adult Healthy (Western Diet)	115	GCF_001271155.1	Skunk adenovirus PB1, complete genome	0.0007022668738554018
1	Gut Virome - Adult Healthy (Western Diet)	92	GCF_001275455.1	Chlamydia phage phiCPAR39, complete sequence	0.0001437061098634285
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_001502355.1	Parabacteroides phage YZ-2015b, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	126	GCF_001502435.1	Mycobacterium phage Abrogate, complete genome	0.0004230303391381113
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_001502975.1	Parabacteroides phage YZ-2015a, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	83	GCF_001504835.1	Bacteriophage phiK complete genome	0.0005393924582947246
1	Gut Virome - Adult Healthy (Western Diet)	132	GCF_002004855.1	Wuhan pillworm virus 2 strain WHSFII14871 putative nucleoprotein, hypothetical protein, putative matrix protein, putative glycoprotein 1, RNA-dependent RNA polymerase, and putative glycoprotein 2 genes, complete cds	0.0007513482372497877
1	Gut Virome - Adult Healthy (Western Diet)	117	GCF_002219645.1	Red squirrel adenovirus 1 strain DE/2013/Sciurus vulgaris/2013Pa405-00252, complete genome	0.00042926028392650063
1	Gut Virome - Adult Healthy (Western Diet)	77	GCF_002614425.1	Coliphage ID52, complete genome	0.006994244028178514
1	Gut Virome - Adult Healthy (Western Diet)	94	GCF_002618845.1	Coliphage WA45, complete genome	0.004532647045844455
1	Gut Virome - Adult Healthy (Western Diet)	86	GCF_002618865.1	Coliphage NC35, complete genome	0.0005727091585069172
1	Gut Virome - Adult Healthy (Western Diet)	75	GCF_002618885.1	Coliphage ID21, complete genome	0.0007718885918474467
1	Gut Virome - Adult Healthy (Western Diet)	74	GCF_002618905.1	Coliphage NC28, complete genome	0.00521672162292943
1	Gut Virome - Adult Healthy (Western Diet)	76	GCF_002618925.1	Coliphage NC29, complete genome	0.062097992897322596
1	Gut Virome - Adult Healthy (Western Diet)	89	GCF_002618945.1	Coliphage ID32, complete genome	0.013985973015272863
1	Gut Virome - Adult Healthy (Western Diet)	91	GCF_002618965.1	Coliphage ID62, complete genome	0.004238504881472193
1	Gut Virome - Adult Healthy (Western Diet)	2	GCF_002633435.1	Azobacteroides phage ProJPt-Bp1 DNA, complete sequence	0.00529918575667894
1	Gut Virome - Adult Healthy (Western Diet)	122	GCF_002744075.1	Salmonella phage Melville, complete genome	0.004441264417588557
1	Gut Virome - Adult Healthy (Western Diet)	104	GCF_002921355.1	Enterobacteria phage f1 DNA, complete genome, isolate: NBRC 20010	0.005200850139577442
1	Gut Virome - Adult Healthy (Western Diet)	106	GCF_002921365.1	Enterobacteria phage f1 DNA, complete genome, isolate: NBRC 20015	0.006072592897964512
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002921685.1	Enterobacteria phage f1 isolate f1_2_FR, complete genome	0.0043007499312690415
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002958055.1	Faecalibacterium phage FP_Brigit, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002958065.1	Faecalibacterium phage FP_Epona, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002958075.1	Faecalibacterium phage FP_Lagaffe, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002958085.1	Faecalibacterium phage FP_Lugh, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002958095.1	Faecalibacterium phage FP_Mushu, complete genome	0.006965585473540783
1	Gut Virome - Adult Healthy (Western Diet)	98	GCF_002958105.1	Faecalibacterium phage FP_Taranis, complete genome	0.006965585473540783
