species	accession	abundance	prevalence
Streptococcus mitis	GCF_000148585.2	0.15	0.95
Streptococcus salivarius	GCF_000014205.1	0.08	0.85
Streptococcus gordonii	GCF_000017005.1	0.04	0.7
Streptococcus parasanguinis	GCF_000227135.1	0.03	0.65
Haemophilus parainfluenzae	GCF_000191405.1	0.06	0.8
Neisseria subflava	GCF_001027105.1	0.05	0.75
Veillonella parvula	GCF_000024945.1	0.05	0.85
Veillonella dispar	GCF_000160055.1	0.03	0.65
Prevotella melaninogenica	GCF_000024805.1	0.04	0.7
Prevotella histicola	GCF_000382765.1	0.02	0.5
Rothia mucilaginosa	GCF_000175615.1	0.04	0.75
Actinomyces naeslundii	GCF_000181595.1	0.03	0.65
Gemella haemolysans	GCF_000186725.1	0.02	0.55
Fusobacterium nucleatum	GCF_000007325.1	0.03	0.6
Porphyromonas gingivalis	GCF_000010505.1	0.015	0.3
Granulicatella adiacens	GCF_000186165.1	0.02	0.5
