genome_id	abundance	rank
GCF_001957635.1	0.31071057	1
GCF_000853365.1	0.28085518	2
GCF_000842025.1	0.21461489	3
GCF_002618925.1	0.03690232	4
GCF_001503555.1	0.03284724	5
GCF_000908675.1	0.03154387	6
GCF_001502135.1	0.02864583	7
GCF_008214585.1	0.01936576	8
GCF_024182535.1	0.00999554	9
GCF_001754565.1	0.00970755	10
GCF_018570105.1	0.00400207	11
GCF_000839525.1	0.00386324	12
GCF_000839985.1	0.00385185	13
GCF_004133965.1	0.00367801	14
GCF_002614425.1	0.00325403	15
GCF_023138565.1	0.00235975	16
GCF_002618905.1	0.00137672	17
GCF_002618845.1	0.00127419	18
GCF_018591155.1	0.00044463	19
GCF_001502755.1	0.00025257	20
GCF_001504835.1	0.00023310	21
GCF_000903755.2	0.00022109	22
