genome_id	abundance	rank
GCF_015160975.1	0.22588826	1
GCF_002618905.1	0.06492377	2
GCF_000819615.1	0.06209799	3
GCF_021090305.1	0.06189563	4
GCF_000929915.1	0.04929516	5
GCF_009734245.1	0.04455444	6
GCF_015160995.1	0.03345593	7
GCF_015161245.1	0.02591780	8
GCF_001275455.1	0.02177630	9
GCF_021090645.1	0.02151769	10
GCF_021090365.1	0.02073793	11
GCF_021090275.1	0.02063634	12
GCF_004148665.1	0.01973383	13
GCF_021090295.1	0.01633648	14
GCF_015161045.1	0.01590421	15
GCF_000839525.1	0.01398597	16
GCF_021090625.1	0.01095443	17
GCF_021090205.1	0.00755177	18
GCF_021090195.1	0.00752229	19
GCF_015161065.1	0.00738539	20
GCF_021090225.1	0.00708766	21
GCF_002618845.1	0.00707460	22
GCF_020620325.1	0.00699513	23
GCF_001504835.1	0.00699424	24
GCF_021090325.1	0.00688476	25
GCF_000837165.1	0.00680957	26
GCF_021090375.1	0.00644094	27
GCF_015160935.1	0.00624303	28
GCF_015161255.1	0.00611511	29
GCF_002601625.1	0.00607259	30
GCF_021090285.1	0.00589080	31
GCF_015161225.1	0.00576869	32
GCF_015161015.1	0.00565553	33
GCF_021090615.1	0.00552615	34
GCF_015161085.1	0.00548811	35
GCF_000837425.1	0.00542761	36
GCF_009708655.1	0.00540297	37
GCF_000847325.1	0.00534675	38
GCF_015161095.1	0.00529919	39
GCF_016528255.1	0.00524583	40
GCF_015161285.1	0.00523779	41
GCF_000836805.1	0.00521672	42
GCF_019090025.1	0.00520085	43
GCF_000849665.1	0.00504968	44
GCF_021090245.1	0.00466876	45
GCF_002618925.1	0.00453265	46
GCF_021090215.1	0.00448974	47
GCF_002616645.1	0.00444126	48
GCF_003930115.1	0.00434203	49
GCF_002826545.1	0.00430075	50
GCF_011900995.1	0.00423850	51
GCF_018591195.1	0.00422955	52
GCF_002633435.1	0.00337220	53
GCF_015161165.1	0.00322541	54
GCF_000914235.1	0.00302621	55
GCF_021090265.1	0.00299917	56
GCF_015160965.1	0.00288676	57
GCF_015161115.1	0.00274588	58
GCF_021090655.1	0.00263678	59
GCF_000846145.1	0.00247459	60
GCF_015161205.1	0.00237565	61
GCF_021090175.1	0.00236557	62
GCF_000926095.1	0.00233482	63
GCF_021090635.1	0.00200031	64
GCF_002756735.1	0.00190530	65
GCF_003443495.1	0.00179380	66
GCF_015161035.1	0.00161652	67
GCF_002609565.1	0.00154966	68
GCF_002618865.1	0.00143090	69
GCF_000908815.1	0.00131793	70
GCF_021090315.1	0.00106425	71
GCF_000846985.1	0.00082725	72
GCF_015161215.1	0.00081401	73
GCF_000884975.1	0.00077189	74
GCF_000845225.1	0.00075135	75
GCF_015161025.1	0.00074355	76
GCF_015161275.1	0.00073002	77
GCF_000913655.1	0.00070227	78
GCF_000864545.1	0.00069262	79
GCF_015161155.1	0.00067726	80
GCF_013387685.1	0.00066985	81
GCF_003308815.1	0.00065694	82
GCF_000838865.1	0.00065424	83
GCF_021090185.1	0.00064549	84
GCF_001714535.1	0.00064496	85
GCF_002957465.1	0.00063503	86
GCF_015161075.1	0.00062188	87
GCF_014042105.1	0.00061738	88
GCF_015161135.1	0.00060887	89
GCF_015161125.1	0.00060655	90
GCF_000859465.1	0.00059690	91
GCF_015161005.1	0.00058662	92
GCF_002618945.1	0.00057271	93
GCF_015161175.1	0.00056971	94
GCF_000840785.1	0.00053939	95
GCF_021090355.1	0.00052860	96
GCF_013403605.1	0.00052057	97
GCF_000891695.1	0.00051855	98
GCF_000856885.1	0.00051103	99
GCF_000846705.1	0.00049184	100
GCF_015161105.1	0.00048661	101
GCF_021090255.1	0.00046912	102
GCF_000893195.1	0.00046290	103
GCF_900098775.1	0.00043962	104
GCF_000844185.1	0.00042926	105
GCF_000842885.1	0.00042303	106
GCF_003442555.1	0.00041010	107
GCF_003051725.1	0.00040624	108
GCF_021090235.1	0.00040409	109
GCF_015161185.1	0.00039207	110
GCF_000883755.1	0.00038185	111
GCF_002818135.1	0.00035708	112
GCF_015161265.1	0.00035056	113
GCF_003456995.1	0.00034034	114
GCF_003456955.1	0.00032975	115
GCF_015160955.1	0.00030815	116
GCF_015161145.1	0.00022908	117
GCF_015161195.1	0.00020218	118
GCF_015161295.1	0.00019928	119
GCF_000909615.1	0.00018747	120
GCF_000839985.1	0.00016111	121
GCF_002618885.1	0.00014371	122
GCF_015161235.1	0.00014182	123
GCF_000866785.1	0.00013730	124
GCF_021090335.1	0.00013679	125
GCF_018595405.1	0.00012774	126
GCF_000894355.2	0.00012645	127
GCF_015161055.1	0.00008794	128
GCF_015160985.1	0.00008637	129
GCF_002614425.1	0.00007689	130
GCF_015160945.1	0.00007093	131
GCF_021090345.1	0.00005176	132
GCF_002618965.1	0.00001323	133
GCF_021090605.1	0.00001097	134
