species	accession	abundance	prevalence
Staphylococcus epidermidis	GCF_000007645.1	0.2	0.8
Staphylococcus aureus	GCF_000013425.1	0.05	0.25
Corynebacterium macginleyi	GCF_000404265.1	0.15	0.6
Cutibacterium acnes	GCF_000144405.1	0.15	0.65
Streptococcus mitis	GCF_000148585.2	0.08	0.4
Haemophilus influenzae	GCF_000027305.1	0.05	0.2
Pseudomonas aeruginosa	GCF_000006765.1	0.04	0.1
Micrococcus luteus	GCF_000023205.1	0.06	0.35
Enhydrobacter aerosaccus	GCF_000368565.1	0.05	0.25
Acinetobacter johnsonii	GCF_000368385.1	0.04	0.2
Sphingomonas paucimobilis	GCF_000282435.1	0.03	0.15
