species	accession	abundance	prevalence
Bacteroides vulgatus	GCF_000012825.1	0.065	0.9
Bacteroides uniformis	GCF_000154205.1	0.055	0.85
Bacteroides thetaiotaomicron	GCF_000011065.1	0.045	0.8
Bacteroides fragilis	GCF_000009925.1	0.035	0.75
Bacteroides ovatus	GCF_000154125.1	0.03	0.7
Bacteroides caccae	GCF_000154845.1	0.02	0.6
Parabacteroides distasonis	GCF_000012845.1	0.025	0.7
Parabacteroides merdae	GCF_000154465.1	0.015	0.55
Prevotella copri	GCF_000157935.1	0.04	0.35
Alistipes putredinis	GCF_000154525.1	0.02	0.65
Roseburia intestinalis	GCF_000169035.1	0.035	0.75
Eubacterium rectale	GCF_000020605.1	0.04	0.8
Coprococcus comes	GCF_000155815.1	0.015	0.55
Dorea formicigenerans	GCF_000156015.1	0.012	0.6
Dorea longicatena	GCF_000155875.1	0.012	0.55
Blautia obeum	GCF_000154065.1	0.018	0.65
Faecalibacterium prausnitzii	GCF_000162015.1	0.055	0.9
Ruminococcus bromii	GCF_000156375.1	0.025	0.7
Clostridium bolteae	GCF_000155435.1	0.01	0.45
Clostridium symbiosum	GCF_000155205.1	0.008	0.4
Phascolarctobacterium succinatutens	GCF_000424985.1	0.012	0.5
Holdemanella biformis	GCF_000156495.1	0.008	0.35
Streptococcus thermophilus	GCF_000011825.1	0.005	0.3
Bifidobacterium longum	GCF_000007525.1	0.03	0.75
Bifidobacterium adolescentis	GCF_000010425.1	0.02	0.6
Collinsella aerofaciens	GCF_000169035.1	0.015	0.55
Eggerthella lenta	GCF_000024265.1	0.008	0.4
Akkermansia muciniphila	GCF_000020225.1	0.025	0.65
Escherichia coli	GCF_000005845.2	0.01	0.7
Klebsiella pneumoniae	GCF_000240185.1	0.005	0.3
Sutterella wadsworthensis	GCF_000154245.1	0.008	0.4
Bilophila wadsworthia	GCF_000185705.2	0.006	0.35
Desulfovibrio piger	GCF_000156375.1	0.004	0.25
Haemophilus parainfluenzae	GCF_000191405.1	0.003	0.2
Fusobacterium nucleatum	GCF_000007325.1	0.003	0.2
Methanobrevibacter smithii	GCF_000016525.1	0.015	0.5
Odoribacter splanchnicus	GCF_000190535.1	0.01	0.45
Barnesiella intestinihominis	GCF_000311925.1	0.008	0.35
Megamonas hypermegale	GCF_000428645.1	0.006	0.25
Mitsuokella multacida	GCF_000178935.2	0.005	0.3
Veillonella parvula	GCF_000024945.1	0.005	0.35
Megasphaera elsdenii	GCF_000284795.1	0.004	0.2
Citrobacter freundii	GCF_000648515.1	0.003	0.15
Enterococcus faecalis	GCF_000007785.1	0.003	0.25
Ruminococcus gnavus	GCF_000156515.1	0.018	0.65
Coprococcus eutactus	GCF_000155435.1	0.012	0.5
Anaerostipes hadrus	GCF_000332875.2	0.014	0.55
