genome_id	abundance	rank
GCF_002618845.1	0.20223720	1
GCF_000836805.1	0.13614855	2
GCF_027941015.1	0.12924201	3
GCF_000819615.1	0.12900009	4
GCF_002618925.1	0.12400652	5
GCF_018583155.1	0.09099977	6
GCF_000912195.1	0.04844413	7
GCF_002818015.1	0.01355614	8
GCF_000846145.1	0.01234188	9
GCF_002618865.1	0.01150831	10
GCF_001974335.1	0.01095688	11
GCF_000839525.1	0.01092852	12
GCF_000889615.1	0.00980100	13
GCF_000849665.1	0.00953160	14
GCF_002618965.1	0.00873282	15
GCF_000854145.2	0.00872073	16
GCF_001904845.1	0.00837673	17
GCF_002158775.1	0.00581054	18
GCF_000840785.1	0.00566265	19
GCF_000885915.1	0.00539392	20
GCF_018583145.1	0.00369601	21
GCF_004117175.1	0.00136026	22
GCF_000890695.1	0.00128314	23
GCF_000842705.1	0.00127224	24
GCF_000884975.1	0.00121718	25
GCF_000913655.1	0.00116839	26
GCF_000839985.1	0.00116485	27
GCF_002618905.1	0.00111462	28
GCF_002618945.1	0.00098249	29
GCF_027939225.1	0.00096284	30
GCF_018586905.1	0.00093066	31
GCF_002985995.1	0.00073702	32
GCF_002618885.1	0.00070740	33
GCF_000838865.1	0.00060112	34
GCF_029884945.1	0.00038282	35
GCF_002614425.1	0.00034916	36
GCF_000857845.1	0.00029538	37
GCF_001275455.1	0.00021610	38
GCF_011900995.1	0.00007747	39
GCF_000864545.1	0.00005447	40
GCF_027940825.1	0.00002643	41
