species	accession	abundance	prevalence
Lactobacillus iners	GCF_000160075.2	0.12	0.5
Lactobacillus gasseri	GCF_000014425.1	0.05	0.25
Gardnerella vaginalis	GCF_000025205.1	0.08	0.4
Streptococcus agalactiae	GCF_000196055.1	0.06	0.25
Staphylococcus epidermidis	GCF_000007645.1	0.05	0.3
Corynebacterium coyleae	GCF_000382825.1	0.04	0.2
Enterococcus faecalis	GCF_000007785.1	0.05	0.25
Escherichia coli	GCF_000005845.2	0.06	0.3
Prevotella bivia	GCF_000195635.1	0.04	0.2
Aerococcus urinae	GCF_000373925.1	0.04	0.2
Actinotignum schaalii	GCF_000382085.1	0.03	0.15
