genome_id	abundance	rank
GCF_000891855.1	0.08811228	1
GCF_002627925.1	0.08400887	2
GCF_002618485.1	0.06889467	3
GCF_001926235.1	0.06780234	4
GCF_000869825.1	0.03445125	5
GCF_011106535.1	0.03414963	6
GCF_000926715.1	0.03265565	7
GCF_013388005.1	0.03078252	8
GCF_003614055.1	0.03043328	9
GCF_002958015.1	0.02879902	10
GCF_002618945.1	0.02619044	11
GCF_003722815.1	0.02550250	12
GCF_003925525.1	0.02520496	13
GCF_009673345.1	0.02127037	14
GCF_000883015.1	0.02059450	15
GCF_000916495.1	0.02018747	16
GCF_003571885.1	0.01980804	17
GCF_029870235.1	0.01825630	18
GCF_003866615.1	0.01712979	19
GCF_011757265.1	0.01384501	20
GCF_008214725.1	0.01355685	21
GCF_001744575.1	0.01327190	22
GCF_000918255.1	0.01316679	23
GCF_003344985.1	0.01221453	24
GCF_000892295.1	0.01187640	25
GCF_006964105.1	0.00976108	26
GCF_001504835.1	0.00893272	27
GCF_000880975.1	0.00890080	28
GCF_007647105.1	0.00728708	29
GCF_003925105.1	0.00712135	30
GCF_000893195.1	0.00597336	31
GCF_011756835.1	0.00576004	32
GCF_000884975.1	0.00550248	33
GCF_001502095.1	0.00437550	34
GCF_025630425.1	0.00352269	35
GCF_000925795.1	0.00349951	36
GCF_003182745.1	0.00346105	37
GCF_024182525.1	0.00337114	38
GCF_003341475.1	0.00331156	39
GCF_002614425.1	0.00329571	40
GCF_014514595.1	0.00324790	41
GCF_002621705.1	0.00322885	42
GCF_000900535.1	0.00319033	43
GCF_001042175.1	0.00319015	44
GCF_002619805.1	0.00312155	45
GCF_001042135.1	0.00309079	46
GCF_000836925.1	0.00297304	47
GCF_002921365.1	0.00296165	48
GCF_021029385.1	0.00282699	49
GCF_000922815.1	0.00277452	50
GCF_003925765.1	0.00272958	51
GCF_006384555.1	0.00267500	52
GCF_008221985.1	0.00265620	53
GCF_000837925.1	0.00264804	54
GCF_000924975.1	0.00264187	55
GCF_019089885.1	0.00259209	56
GCF_014514655.1	0.00258125	57
GCF_003365115.1	0.00244236	58
GCF_000907975.1	0.00239263	59
GCF_021090605.1	0.00237371	60
GCF_010121165.1	0.00236452	61
GCF_001275455.1	0.00235756	62
GCF_009928405.1	0.00219718	63
GCF_000901975.1	0.00218564	64
GCF_001505715.1	0.00214464	65
GCF_002614465.1	0.00211701	66
GCF_000901815.1	0.00207333	67
GCF_002629045.1	0.00205921	68
GCF_000836805.1	0.00203577	69
GCF_018559885.1	0.00202862	70
GCF_001041775.1	0.00202040	71
GCF_020495955.1	0.00201046	72
GCF_000889235.1	0.00181014	73
