genome_id	abundance	rank
GCF_022604795.1	0.04199454	1
GCF_927798185.1	0.03675142	2
GCF_002627945.1	0.03568043	3
GCF_004521435.1	0.03348519	4
GCF_001746055.1	0.02460135	5
GCF_018595285.1	0.02449905	6
GCF_000908075.1	0.02296609	7
GCF_002958475.1	0.01647075	8
GCF_004149205.1	0.01476536	9
GCF_000899635.1	0.01421733	10
GCF_003368825.1	0.01415636	11
GCF_001501675.1	0.01400739	12
GCF_011756495.1	0.01367767	13
GCF_002615445.1	0.01360387	14
GCF_000909255.1	0.01348315	15
GCF_008375435.2	0.01336434	16
GCF_010120185.1	0.01294913	17
GCF_011106535.1	0.01277265	18
GCF_004149845.1	0.01261757	19
GCF_001745995.1	0.01242482	20
GCF_013348105.1	0.01236623	21
GCF_902143415.1	0.01234942	22
GCF_002601305.1	0.01205207	23
GCF_002604305.1	0.01202822	24
GCF_000892495.1	0.01197402	25
GCF_000907055.1	0.01180463	26
GCF_000912295.1	0.01151573	27
GCF_000899435.1	0.01149220	28
GCF_002743955.1	0.01142200	29
GCF_003613895.1	0.01135906	30
GCF_014338145.1	0.01131688	31
GCF_011756415.1	0.01123800	32
GCF_004800565.1	0.01094944	33
GCF_000913815.1	0.01089351	34
GCF_001500875.1	0.01086093	35
GCF_000872425.2	0.01037964	36
GCF_003341035.1	0.01000880	37
GCF_003575565.1	0.00995507	38
GCF_011757225.1	0.00982077	39
GCF_002614425.1	0.00979603	40
GCF_015161115.1	0.00969726	41
GCF_002990525.1	0.00954639	42
GCF_000902915.1	0.00942118	43
GCF_002610045.1	0.00939428	44
GCF_009800905.1	0.00925081	45
GCF_002593865.1	0.00910116	46
GCF_001042275.1	0.00899833	47
GCF_021090175.1	0.00877257	48
GCF_002606685.1	0.00851314	49
GCF_013388005.1	0.00847694	50
GCF_015161155.1	0.00832209	51
GCF_029870255.1	0.00803741	52
GCF_002621825.1	0.00800487	53
GCF_002619325.1	0.00743015	54
GCF_008939625.1	0.00741695	55
GCF_000863505.1	0.00639714	56
GCF_900604445.1	0.00627035	57
GCF_000865825.1	0.00530220	58
GCF_000848045.2	0.00527491	59
GCF_001501855.1	0.00524088	60
GCF_004519775.1	0.00515115	61
GCF_000923095.1	0.00488050	62
GCF_000921095.1	0.00456452	63
GCF_001019915.1	0.00421185	64
GCF_020684895.1	0.00411034	65
GCF_000846145.1	0.00400373	66
GCF_002149305.1	0.00384446	67
GCF_011895175.1	0.00374369	68
GCF_006864065.1	0.00370063	69
GCF_016653805.1	0.00358003	70
GCF_022516425.1	0.00351849	71
GCF_000911475.1	0.00310362	72
GCF_000875305.1	0.00301806	73
GCF_001500855.2	0.00301657	74
GCF_012360975.1	0.00271827	75
GCF_003865935.1	0.00250777	76
GCF_003575705.1	0.00200179	77
GCF_009667565.1	0.00198592	78
GCF_001503375.1	0.00143948	79
GCF_005892105.1	0.00143687	80
GCF_002618765.1	0.00143100	81
GCF_020492075.1	0.00142215	82
GCF_011757275.1	0.00141736	83
GCF_002743475.1	0.00140530	84
GCF_000899055.1	0.00139413	85
GCF_003866615.1	0.00138723	86
GCF_000910535.1	0.00138533	87
GCF_002743515.1	0.00137117	88
GCF_002211075.1	0.00136466	89
GCF_010121025.1	0.00135965	90
GCF_002957415.1	0.00135484	91
GCF_009745135.1	0.00132384	92
GCF_003366335.1	0.00132023	93
GCF_002610185.1	0.00131999	94
GCF_003443455.1	0.00131166	95
GCF_013348125.1	0.00129397	96
GCF_025960795.1	0.00128539	97
GCF_003958825.1	0.00128158	98
GCF_003692155.1	0.00127650	99
GCF_000899595.1	0.00127370	100
GCF_003867095.1	0.00126016	101
GCF_002990805.1	0.00124780	102
GCF_000884975.1	0.00124697	103
GCF_015160945.1	0.00123377	104
GCF_009431915.1	0.00122326	105
GCF_002622425.1	0.00121463	106
GCF_002618865.1	0.00119044	107
GCF_003866755.1	0.00118860	108
GCF_003866395.1	0.00118556	109
GCF_007051165.1	0.00118222	110
GCF_009688665.1	0.00117460	111
GCF_002625565.1	0.00116736	112
GCF_004521775.1	0.00116433	113
GCF_003047835.1	0.00116352	114
GCF_018570505.1	0.00116254	115
GCF_000853365.1	0.00116110	116
GCF_000891755.1	0.00115191	117
GCF_002624485.1	0.00114582	118
GCF_015161195.1	0.00113739	119
GCF_003366875.1	0.00112945	120
GCF_010701345.1	0.00112602	121
GCF_002622105.1	0.00111904	122
GCF_020491615.1	0.00109866	123
GCF_000896515.1	0.00109529	124
GCF_000903795.1	0.00109237	125
GCF_001744055.1	0.00109067	126
GCF_000909635.1	0.00108864	127
GCF_003925065.1	0.00108672	128
GCF_902141785.1	0.00108199	129
GCF_013267975.1	0.00108102	130
GCF_004521275.1	0.00106255	131
GCF_002957985.1	0.00104670	132
GCF_000917355.1	0.00102185	133
GCF_001504675.1	0.00101219	134
GCF_002620065.1	0.00100540	135
GCF_900604395.1	0.00099654	136
GCF_000893035.1	0.00098878	137
GCF_019095865.1	0.00097787	138
GCF_002605085.1	0.00097755	139
GCF_002956205.1	0.00096958	140
GCF_005394685.1	0.00094806	141
GCF_002997875.1	0.00094338	142
GCF_001502555.2	0.00093591	143
GCF_001503615.1	0.00093370	144
GCF_002628025.1	0.00092716	145
GCF_029875845.1	0.00092034	146
GCF_015161355.1	0.00091361	147
GCF_002617845.1	0.00090733	148
GCF_011067345.1	0.00090677	149
GCF_002627125.1	0.00089667	150
GCF_000911295.1	0.00087766	151
GCF_019089955.1	0.00087267	152
GCF_002603085.1	0.00087160	153
GCF_000840785.1	0.00087096	154
GCF_002628105.1	0.00086436	155
GCF_011067595.1	0.00086325	156
GCF_002955395.1	0.00085184	157
GCF_014514725.1	0.00084938	158
GCF_000925855.1	0.00084311	159
GCF_021216265.1	0.00083496	160
GCF_003307875.1	0.00082324	161
GCF_003226655.1	0.00081805	162
GCF_000881715.1	0.00081635	163
GCF_015161045.1	0.00081530	164
GCF_000889235.1	0.00079063	165
GCF_001504355.1	0.00079005	166
GCF_000913135.1	0.00078830	167
GCF_017903535.1	0.00077677	168
GCF_001745335.1	0.00077304	169
GCF_000922735.2	0.00077080	170
GCF_000908275.1	0.00076821	171
GCF_003288715.1	0.00074610	172
GCF_002618025.1	0.00074610	173
GCF_900092395.1	0.00074397	174
GCF_002618645.1	0.00073879	175
GCF_002621425.1	0.00073864	176
GCF_003866135.1	0.00072963	177
GCF_000864545.1	0.00072768	178
GCF_002618845.1	0.00072622	179
GCF_002621705.1	0.00071530	180
GCF_002609765.1	0.00070729	181
GCF_018987215.1	0.00070163	182
GCF_001934225.1	0.00069072	183
GCF_002627765.1	0.00068753	184
GCF_002955495.1	0.00067952	185
GCF_003456995.1	0.00067841	186
GCF_003930255.1	0.00067754	187
GCF_000919915.2	0.00067600	188
GCF_028198255.1	0.00066509	189
GCF_003930555.1	0.00065215	190
GCF_009296085.1	0.00064217	191
GCF_002989895.1	0.00062203	192
GCF_002615645.1	0.00062155	193
GCF_002957145.1	0.00061415	194
GCF_002149245.1	0.00060526	195
GCF_000869685.1	0.00059763	196
GCF_002756155.1	0.00059483	197
GCF_002607305.1	0.00057818	198
GCF_000905035.1	0.00057782	199
GCF_001504895.1	0.00057260	200
GCF_029535565.1	0.00056998	201
GCF_016836195.1	0.00056834	202
GCF_003718775.1	0.00054067	203
GCF_008220985.1	0.00053175	204
GCF_002596185.1	0.00051029	205
GCF_000918275.1	0.00049846	206
GCF_002597505.1	0.00049701	207
GCF_001470235.1	0.00049424	208
GCF_902150575.1	0.00048372	209
GCF_002757895.1	0.00048171	210
GCF_002958225.1	0.00048059	211
GCF_004800835.1	0.00047971	212
GCF_000924955.1	0.00047700	213
GCF_000819615.1	0.00046978	214
GCF_000924855.1	0.00046794	215
GCF_900682655.1	0.00046461	216
GCF_021090305.1	0.00046422	217
GCF_002954945.1	0.00045399	218
GCF_000873005.1	0.00043650	219
GCF_004800785.1	0.00043040	220
GCF_003345025.1	0.00040999	221
GCF_002618565.1	0.00040889	222
GCF_009672745.1	0.00040542	223
GCF_003308855.1	0.00040119	224
GCF_002958715.1	0.00038812	225
GCF_021497835.1	0.00038562	226
GCF_003866075.1	0.00038351	227
GCF_002149385.1	0.00035925	228
GCF_000872005.1	0.00035786	229
GCF_012934115.1	0.00035034	230
GCF_000915475.1	0.00034040	231
GCF_000839765.1	0.00033734	232
GCF_008214965.1	0.00033548	233
GCF_022350665.1	0.00032483	234
GCF_002597145.1	0.00031978	235
GCF_000890395.1	0.00031735	236
GCF_000843345.1	0.00029770	237
GCF_009689385.1	0.00029307	238
GCF_025688055.1	0.00028101	239
GCF_007647105.1	0.00027284	240
GCF_002602105.1	0.00026481	241
GCF_003094275.1	0.00025912	242
GCF_019089795.1	0.00025020	243
GCF_003366535.1	0.00024874	244
GCF_002618905.1	0.00024414	245
GCF_002618965.1	0.00023363	246
GCF_000844845.1	0.00023196	247
GCF_020475385.1	0.00022897	248
GCF_000838865.1	0.00022876	249
GCF_019090045.1	0.00022831	250
GCF_003866055.1	0.00022545	251
GCF_002990945.1	0.00022496	252
GCF_001310115.1	0.00022013	253
GCF_000836805.1	0.00021819	254
GCF_002612265.1	0.00021196	255
GCF_002624365.1	0.00018998	256
GCF_003925745.1	0.00018777	257
GCF_021864085.1	0.00017941	258
GCF_003866515.1	0.00017815	259
GCF_013387985.1	0.00017555	260
GCF_000916695.1	0.00017248	261
GCF_002618925.1	0.00015095	262
GCF_000881995.1	0.00014834	263
GCF_001745955.1	0.00014357	264
GCF_011756755.1	0.00014210	265
GCF_000892295.1	0.00014202	266
GCF_003866115.1	0.00014145	267
GCF_002610145.1	0.00013990	268
GCF_020906685.1	0.00013616	269
GCF_000899755.1	0.00013353	270
GCF_005145565.1	0.00013315	271
GCF_002997395.1	0.00013259	272
GCF_917046035.1	0.00013198	273
GCF_004139175.1	0.00013156	274
GCF_024234135.1	0.00013041	275
GCF_000892375.1	0.00013022	276
GCF_015161245.1	0.00013019	277
GCF_015644835.1	0.00012992	278
GCF_002622465.1	0.00012891	279
GCF_001743975.2	0.00012846	280
GCF_000875605.1	0.00012765	281
GCF_000890795.1	0.00012745	282
GCF_002149185.1	0.00012659	283
GCF_000884895.1	0.00012578	284
GCF_014824535.1	0.00012576	285
GCF_000849665.1	0.00012544	286
GCF_003285285.1	0.00012544	287
GCF_004135245.1	0.00012499	288
GCF_002614465.1	0.00012359	289
GCF_010120335.1	0.00012302	290
GCF_002756175.1	0.00012228	291
GCF_009662655.1	0.00012203	292
GCF_000839525.1	0.00012201	293
GCF_006384735.1	0.00012158	294
GCF_003925345.1	0.00012108	295
GCF_004147145.1	0.00012102	296
GCF_002625165.1	0.00011885	297
GCF_000887075.1	0.00011868	298
GCF_002625345.1	0.00011794	299
GCF_002618825.1	0.00011751	300
GCF_000865785.1	0.00011734	301
GCF_013133635.1	0.00011729	302
GCF_000918315.1	0.00011671	303
GCF_000871265.1	0.00011505	304
GCF_002615645.1	0.00011482	305
GCF_000923015.1	0.00011381	306
GCF_014319865.1	0.00011224	307
GCF_002597665.1	0.00011084	308
GCF_002604385.1	0.00011042	309
GCF_009431985.1	0.00010870	310
GCF_000866185.1	0.00010775	311
GCF_000840305.1	0.00010680	312
GCF_022544635.1	0.00010657	313
GCF_002827745.1	0.00010572	314
GCF_000837365.1	0.00010346	315
GCF_002621865.1	0.00010215	316
GCF_002149285.1	0.00010144	317
GCF_000924355.1	0.00010124	318
GCF_002597685.1	0.00010108	319
GCF_002615465.1	0.00010106	320
GCF_003605995.1	0.00010070	321
GCF_000900735.1	0.00009963	322
GCF_003865855.1	0.00009916	323
GCF_003866055.1	0.00009890	324
GCF_000914095.1	0.00009783	325
GCF_002614945.1	0.00009676	326
GCF_002618625.1	0.00009669	327
GCF_000868305.2	0.00009633	328
GCF_014514695.1	0.00009498	329
GCF_015502405.1	0.00009425	330
GCF_000929055.1	0.00009318	331
GCF_005394485.1	0.00009251	332
GCF_001504375.1	0.00009213	333
GCF_003364755.1	0.00009205	334
GCF_000867045.1	0.00009138	335
GCF_000901655.1	0.00009119	336
GCF_009861145.1	0.00009003	337
GCF_001041455.1	0.00008936	338
GCF_000907935.1	0.00008860	339
GCF_020473785.1	0.00008704	340
GCF_003866915.1	0.00008534	341
GCF_007051205.1	0.00008458	342
GCF_002627925.1	0.00008457	343
GCF_002988105.1	0.00008284	344
GCF_008947325.1	0.00008232	345
GCF_003094015.1	0.00008207	346
GCF_001500915.1	0.00008155	347
GCF_009667665.1	0.00008093	348
GCF_000842965.1	0.00007996	349
GCF_000917315.1	0.00007854	350
GCF_001503655.1	0.00007556	351
GCF_002605405.1	0.00007555	352
GCF_000881715.1	0.00007524	353
GCF_002621465.1	0.00007415	354
GCF_000858545.1	0.00007400	355
GCF_002617245.1	0.00007285	356
GCF_001503075.1	0.00007242	357
GCF_000873685.1	0.00007194	358
GCF_000847165.1	0.00007155	359
GCF_016835625.1	0.00007080	360
GCF_000874225.1	0.00007026	361
GCF_020535835.1	0.00006924	362
GCF_001503535.1	0.00006862	363
GCF_003575365.1	0.00006579	364
GCF_003328985.1	0.00006377	365
GCF_003613655.1	0.00006377	366
GCF_004800915.1	0.00006084	367
GCF_003344285.1	0.00006014	368
GCF_004015585.1	0.00005956	369
GCF_003866295.1	0.00005791	370
GCF_009688705.1	0.00005660	371
GCF_021216165.1	0.00005554	372
GCF_014824285.1	0.00005551	373
GCF_009860475.1	0.00005520	374
GCF_006384555.1	0.00005403	375
GCF_004339065.1	0.00005396	376
GCF_002624845.1	0.00005385	377
GCF_002620025.1	0.00005350	378
GCF_002628845.1	0.00005298	379
GCF_000847045.1	0.00005233	380
GCF_000908635.1	0.00005167	381
GCF_009800405.1	0.00005094	382
GCF_000918515.1	0.00005075	383
GCF_000918255.1	0.00005034	384
GCF_003930115.1	0.00004819	385
GCF_000907615.1	0.00004580	386
GCF_003183745.1	0.00004554	387
GCF_003601175.1	0.00004549	388
GCF_002618945.1	0.00004389	389
GCF_002613725.1	0.00004201	390
GCF_002957655.1	0.00004085	391
GCF_001503435.1	0.00004063	392
GCF_002627305.1	0.00003873	393
GCF_002630925.1	0.00003846	394
GCF_013348085.1	0.00003832	395
GCF_013267945.1	0.00003711	396
GCF_002624045.1	0.00003696	397
GCF_011900995.1	0.00003595	398
GCF_003722895.1	0.00003547	399
GCF_001308835.1	0.00003491	400
GCF_009828315.1	0.00003415	401
GCF_009932005.1	0.00003284	402
GCF_000906915.1	0.00003267	403
GCF_017903485.1	0.00003080	404
GCF_003094315.1	0.00002933	405
GCF_002618885.1	0.00002882	406
GCF_009189105.1	0.00002878	407
GCF_009672685.1	0.00002747	408
GCF_000894315.1	0.00002694	409
GCF_001745035.1	0.00002659	410
GCF_001745095.1	0.00002525	411
GCF_000905155.1	0.00002472	412
GCF_020498035.1	0.00002466	413
GCF_000914495.1	0.00002345	414
GCF_002597705.1	0.00002267	415
GCF_003606055.1	0.00002066	416
GCF_002624965.1	0.00001987	417
GCF_001505135.1	0.00001872	418
GCF_029870225.1	0.00001675	419
GCF_008214525.1	0.00001605	420
GCF_003443335.1	0.00001603	421
GCF_005892185.1	0.00001405	422
GCF_001501055.1	0.00001377	423
GCF_001504835.1	0.00001056	424
GCF_016835845.1	0.00000990	425
GCF_000842165.1	0.00000967	426
GCF_001755025.1	0.00000937	427
GCF_000843245.1	0.00000923	428
GCF_006965205.1	0.00000814	429
GCF_011756665.1	0.00000809	430
GCF_003925045.1	0.00000801	431
GCF_001275455.1	0.00000777	432
GCF_003181195.1	0.00000770	433
GCF_004400365.1	0.00000757	434
GCF_003575645.1	0.00000643	435
GCF_003925145.1	0.00000614	436
GCF_004146485.1	0.00000508	437
GCF_005394565.1	0.00000503	438
GCF_000915775.1	0.00000474	439
GCF_000839985.1	0.00000452	440
GCF_003575485.1	0.00000428	441
GCF_000890115.1	0.00000413	442
GCF_009673325.1	0.00000399	443
GCF_003668315.1	0.00000326	444
GCF_001743555.1	0.00000279	445
GCF_028238575.1	0.00000203	446
GCF_000900235.1	0.00000154	447
GCF_020523055.1	0.00000151	448
